,qid,label,description,wikipedia_url,latitude,longitude,admin_location,Location,Park section,Coordinates,Status,Opening date,Cost,Replaced,Type,Manufacturer,Model,Lift/launch system,Height,Drop,Length,Speed,Inversions,Duration,Capacity,G-force,Restraint style,Height restriction,Trains,Slogan,Designer,Max vertical angle,Website,Opened,Owner,Operating season,Area,Total,Roller coasters,Water rides,Closing date,Soft opening date,Opening date,Closing date,Replaced by,Operated by,Attendance,Track layout,General manager,Theme,First manufactured,Locations,Built,Architect,NRHP referenceNo.,Added to NRHP,Designated NHL,Attraction type,Vehicles,Riders per vehicle,Hangul,Hanja,RR,MR,Name,Park section,Sponsor,Music,Replaced by,1st Launch,2nd Launch,No.of installations,G force,Rows,Riders per row,Restraint Style,Other rides,,Acceleration,Maximum Height,Vehicle,Tunnel Length,Vehicle type,Closed,Physical Length,Total length Traversed,Sponsors,Current Theme,Layout,Launches,Original manufacturer,Redesigned by,Tagline,Restraints,Official Website,Shows,Pre-show hosts,Animatronics,Track layout,Designated,Reference no.,Architectural style,CHISLNo.,SDHLNo.,Designated SDHL,Part of,Part of,Designated NHLDCP,Height Restriction,Builders,Born,Died,Occupation,Known for,Date,Deaths,Injuries,Site Area,Ride hosts,Age restriction,Handicapped persons,Restraint,Trains Per Track,Cars,Trains built by,Hosts,Audio-animatronics,Date opened,Subcontractor,Public transit,Park president,Totalmass,Builtbase area,Queue host,Ride host,Host,Tracks,Former location,Previous name,Loop Heights,Former names,Sponsored by,Original area,Relocated,Pre-ride host,Admission,Lift System #1,Lift System #2,Height restriction (Sit-down train),Height restriction (Stand-up train),Elevation change
0,Q195446,Thirteen,amusement ride,https://en.wikipedia.org/wiki/Thirteen%20%28roller%20coaster%29,52.9847,-1.89042,,Alton Towers,Dark Forest,52°59′05″N1°53′26″W﻿ / ﻿52.984701°N 1.890421°W﻿ /52.984701; -1.890421,Operating,20 March 2010,£15 million[1],Corkscrew,Steel,Intamin,Multi Dimension Coaster,Drive tirelift hill,65.6 ft (20.0 m),60 ft (18 m),"2,480 ft (760 m)",42 mph (68 km/h),0,1:40,"1,100 riders per hour",3.2,Lap bar,47.3–77.2[2]in (120–196 cm),3 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,"""If you go down to the woods today, you better not go alone.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Q195446,Thirteen,amusement ride,https://en.wikipedia.org/wiki/Thirteen%20%28roller%20coaster%29,52.9847,-1.89042,,Alton Towers,Dark Forest,52°59′05″N1°53′26″W﻿ / ﻿52.984701°N 1.890421°W﻿ /52.984701; -1.890421,Operating,20 March 2010,£15 million[1],Corkscrew,Steel,Intamin,Multi Dimension Coaster,Drive tirelift hill,65.6 ft (20.0 m),60 ft (18 m),"2,480 ft (760 m)",42 mph (68 km/h),0,1:40,"1,100 riders per hour",3.2,Lap bar,47.3–77.2[2]in (120–196 cm),3 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,"""If you go down to the woods today, you better not go alone.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Q195446,Thirteen,amusement ride,https://en.wikipedia.org/wiki/Thirteen%20%28roller%20coaster%29,52.9847,-1.89042,,Alton Towers,Dark Forest,52°59′05″N1°53′26″W﻿ / ﻿52.984701°N 1.890421°W﻿ /52.984701; -1.890421,Operating,20 March 2010,£15 million[1],Corkscrew,Steel,Intamin,Multi Dimension Coaster,Drive tirelift hill,65.6 ft (20.0 m),60 ft (18 m),"2,480 ft (760 m)",42 mph (68 km/h),0,1:40,"1,100 riders per hour",3.2,Lap bar,47.3–77.2[2]in (120–196 cm),3 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,"""If you go down to the woods today, you better not go alone.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Q195446,Thirteen,amusement ride,https://en.wikipedia.org/wiki/Thirteen%20%28roller%20coaster%29,52.9847,-1.89042,,Alton Towers,Dark Forest,52°59′05″N1°53′26″W﻿ / ﻿52.984701°N 1.890421°W﻿ /52.984701; -1.890421,Operating,20 March 2010,£15 million[1],Corkscrew,Steel,Intamin,Multi Dimension Coaster,Drive tirelift hill,65.6 ft (20.0 m),60 ft (18 m),"2,480 ft (760 m)",42 mph (68 km/h),0,1:40,"1,100 riders per hour",3.2,Lap bar,47.3–77.2[2]in (120–196 cm),3 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,"""If you go down to the woods today, you better not go alone.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Q323958,G’sengte Sau,Gerstlauer bobsled roller coaster at Erlebnispark Tripsdrill,,,,Q546393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Q483513,Anaconda roller coaster,architectural structure,,-26.23520278,28.01135833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Q546991,Kanonen,former roller coaster at Liseberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Q586556,Vogel Rok,"roller coaster at Efteling in Kaatsheuvel, Netherlands",https://en.wikipedia.org/wiki/Vogel%20Rok,,,Q9850,Efteling,Reizenrijk,51°39′08″N5°03′09″E﻿ / ﻿51.65222°N 5.05250°E﻿ /51.65222; 5.05250,Operating,"April 9, 1998",€ 12 million,,Steel–Enclosed,Vekoma,Custom MK-900,tyre-driven lift-hill,82 ft (25 m),62 ft (19 m),"2,296 ft (700 m)",40 mph (64 km/h),0,1:41,1600 riders per hour,3.5,,47.3 in (120 cm),,,Ton van de Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Q586556,Vogel Rok,"roller coaster at Efteling in Kaatsheuvel, Netherlands",https://en.wikipedia.org/wiki/Vogel%20Rok,,,Q9850,Efteling,Reizenrijk,51°39′08″N5°03′09″E﻿ / ﻿51.65222°N 5.05250°E﻿ /51.65222; 5.05250,Operating,"April 9, 1998",€ 12 million,,Steel–Enclosed,Vekoma,Custom MK-900,tyre-driven lift-hill,82 ft (25 m),62 ft (19 m),"2,296 ft (700 m)",40 mph (64 km/h),0,1:41,1600 riders per hour,3.5,,47.3 in (120 cm),,,Ton van de Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Q586556,Vogel Rok,"roller coaster at Efteling in Kaatsheuvel, Netherlands",https://en.wikipedia.org/wiki/Vogel%20Rok,,,Q9850,Efteling,Reizenrijk,51°39′08″N5°03′09″E﻿ / ﻿51.65222°N 5.05250°E﻿ /51.65222; 5.05250,Operating,"April 9, 1998",€ 12 million,,Steel–Enclosed,Vekoma,Custom MK-900,tyre-driven lift-hill,82 ft (25 m),62 ft (19 m),"2,296 ft (700 m)",40 mph (64 km/h),0,1:41,1600 riders per hour,3.5,,47.3 in (120 cm),,,Ton van de Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
